Term;Course #;Title`;Cross-listed Courses;Faculty;Method;Day and Time;Room;Enrollment;Combined Enrollment
0809F;AMST-11-01;The American Dream;;Carol Clark;L/D;MW 12:30PM-01:50PM;CONV 207;20;20
0809F;AMST-11-02;The American Dream;;Kevin Sweeney;L/D;MW 12:30PM-01:50PM;CHAP 203;21;21
0809F;AMST-11-03;The American Dream;;Robert Hayashi;L/D;MW 12:30PM-01:50PM;CONV 209;20;20
0809F;AMST-32-01;Asian Amer Experience;;Sujani Reddy;L/D;TTH 02:00PM-03:20PM;MCLS 428;3;3
0809F;ANTH-10-01;Human Diversity;ANTH-10-01,SOCI-10-01;Jan Dizard  Christopher Dole;L/D;TTH 02:00PM-03:20PM;MEAD 115;70;94
0809F;ANTH-10-01;Human Diversity;ANTH-10-01,SOCI-10-01;Jan Dizard  Christopher Dole;L/D;TTH 02:00PM-03:20PM;MEAD 115;70;94
0809F;ANTH-13-01;Evolution & Culture;;Miriam Goheen;L/D;MW 12:30PM-01:50PM;MEAD 115;65;65
0809F;ANTH-21-01;Indian Civilization;ANTH-21-01,ASLC-22-01;Lawrence Babb;L/D;MWF 10:00AM-10:50AM;WEBS 220;17;24
0809F;ANTH-22-01;Anthro of Religion;;Lawrence Babb;L/D;TTH 10:00AM-11:20AM;CONV 207;28;28
0809F;ANTH-35-01;Gender: Anthr Perspectiv;;Deborah Gewertz;L/D;W 02:00PM-05:00PM;CONV 207;27;27
0809F;ANTH-41-01;Visual Anthropology;;Deborah Gewertz;L/D;TTH 11:30AM-12:50PM;CONV 207;27;27
0809F;ANTH-45-01;Medical Anthropology;;Christopher Dole;L/D;MW 02:00PM-03:20PM;CHAP 201;30;30
0809F;ARAB-01-01;First-Year Arabic I;;Nahla Khalil;L/D;MTWTHF 09:00AM-09:50AM;CONV 304;14;14
0809F;ARHA-01-01;History of Western Art;;Andaleeb Banta;LEC;TTH 10:00AM-11:20AM;FAYE 115;17;17
