shortName;longName;professor;capacity;day;time;building;room;type;CP;DVD;VCR;Slides;OH;Concurrent;Noncurrent
AMST-11-01;The American Dream;;19;MW;12:30PM-01:50PM;ARMU;1;seminar;;;;;;;
AMST-11-02;The American Dream;;19;MW;12:30PM-01:50PM;BARR;2;seminar;;;;;;;
AMST-11-03;The American Dream;;18;MW;12:30PM-01:50PM;BEBU;3;seminar;;;;;;;
AMST-24-01;Neo-Western;;19;TTH;08:30AM-09:50AM;CHAP;4;seminar;X;X;X;;;;
AMST-36-01;South Asians in U.S.;;7;W;02:00PM-04:30PM;CLAR;5;seminar;;;;;;;
ANTH-10-01;Human Diversity;;72;TTH;02:00PM-03:20PM;CONV;6;seminar;X;X;X;;;;
ANTH-13-01;Evolution & Culture;;69;MW;12:30PM-01:50PM;CPRD;7;seminar;X;X;X;;;;
ANTH-21-01;Indian Civilization;;31;MWF;10:00AM-10:50AM;COOP;8;seminar;X;X;;;;;
ANTH-23-01;Hist Anthropolog Thought;;22;TTH;10:00AM-11:20AM;FAYE;9;seminar;X;X;;;;;
ANTH-35-01;Gender: Anthr Perspectiv;;25;W;02:00PM-05:00PM;GROS;10;seminar;X;X;X;;;;
ANTH-39-01;The Anthropology of Food;;31;M;02:00PM-05:00PM;MCLS;11;seminar;X;X;X;;;;
ANTH-45-01;Medical Anthropology;;30;MW;02:00PM-03:20PM;MEAD;12;seminar;X;X;;;;;
ARAB-01-01;First-Year Arabic I;;27;MTWTHF;09:00AM-09:50AM;MERR;13;seminar;;;;;;;
ARAB-01-01;First-Year Arabic I;;27;MTWTHF;09:00AM-09:50AM;JOCH;14;seminar;;;;;;;
ARAB-03-01;Second-Year Arabic I;;8;MTWTHF;11:00AM-11:50AM;MORG;15;seminar;;;;;;;
ARAB-03-01;Second-Year Arabic I;;8;MTWTHF;11:00AM-11:50AM;NEWP;16;seminar;;;;;;;
ARHA-04-01;Basic Drawing;;17;MW;01:00PM-04:00PM;OCTA;17;seminar;;;;;;;
ARHA-04-01;Basic Drawing;;20;MW;01:00PM-04:00PM;SMUD;18;seminar;;;;;;;
ARHA-04-02;Basic Drawing;;21;TTH;01:00PM-04:00PM;WEBS;19;seminar;;;;;;;
ARHA-13-01;Printmaking I;;13;TTH;01:00PM-04:00PM;ARMU;20;seminar;;;;;;;
ARHA-13-01;Printmaking I;;12;TTH;01:00PM-04:00PM;ARMU;21;seminar;;;;;;;
ARHA-14-01;Sculpture I;;11;MW;01:00PM-04:00PM;ARMU;22;seminar;;;;;;;
ARHA-14-01;Sculpture I;;14;MW;01:00PM-04:00PM;ARMU;23;seminar;;;;;;;
ARHA-15-01;Painting I;;17;MW;01:00PM-04:00PM;ARMU;24;seminar;;;;;;;
ARHA-18-01;Photography I;;18;TTH;01:00PM-04:00PM;ARMU;25;seminar;;;;;;;
ARHA-18-01;Photography I;;15;TTH;01:00PM-04:00PM;ARMU;26;seminar;;;;;;;
ARHA-22-01;Drawing II;;19;MW;09:00AM-11:00AM;ARMU;27;seminar;;;;;;;
ARHA-27-01;Printmaking II;;6;TTH;09:00AM-11:00AM;ARMU;28;seminar;;;;;;;
ARHA-29-01;Ideas Influences Vision;;9;MW;09:00AM-11:00AM;ARMU;29;seminar;;;;;;;
ARHA-29-01;Ideas Influences Vision;;9;MW;09:00AM-11:00AM;ARMU;30;seminar;;;;;;;
ARHA-35-01;Europ Art/Arch 1400-1800;;31;W;01:00PM-01:50PM;ARMU;31;seminar;;;;;;;
ARHA-35-01;Europ Art/Arch 1400-1800;;31;TTH;10:00AM-11:20AM;ARMU;32;seminar;;;;;;;
ARHA-38-01;Arts/Orature in Africa;;4;MW;12:30PM-01:50PM;ARMU;33;seminar;X;X;;1;;;
ARHA-50-01;Monastic Challenge;;20;MW;12:30PM-01:50PM;ARMU;34;seminar;;;;;;;
ARHA-70-01;African Art & Diaspora;;12;MW;08:30AM-09:50AM;ARMU;35;seminar;;X;X;1;;;
ARHA-83-01;Tea Ceremony & Jpns Culture;;11;MW;12:30PM-01:50PM;ARMU;36;seminar;;;;;;;
