AMST-120-01;Writing Ourselves;;Kiara Vigil;CHAP 205, MERR 401;CHAP 205, MERR 401;;BARR 102, BARR 105, CHAP 101, CHAP 103, CHAP 201, CHAP 203, CHAP 205, CHAP 210, CONV 207, CONV 209, CONV 302, CONV 304, CONV 308, FAYE 113, MCLS 428, MERR 314, MERR 401, NEWP 100, PRDT LR, WEBS 217, WEBS 219, WEBS 220
AMST-221-01;Building Community;;Margaret Mead  Karen Sanchez-Eppler;BARR 102, CHAP 101, CHAP 103, CHAP 203, CONV 209, CONV 302, CONV 308, WEBS 217, WEBS 220;BARR 102, CHAP 101, CHAP 103, CHAP 203, CONV 209, CONV 302, CONV 308, COOP 101, FAYE 115, MORG 101, WEBS 217, WEBS 220;;BARR 102, BARR 105, CHAP 101, CHAP 103, CHAP 201, CHAP 203, CHAP 205, CHAP 210, CONV 207, CONV 209, CONV 302, CONV 304, CONV 308, FAYE 113, MCLS 428, MERR 314, MERR 401, NEWP 100, PRDT LR, WEBS 217, WEBS 219, WEBS 220
AMST-320-01;Red/Black Literature;;Kiara Vigil;CHAP 205, MERR 401;CHAP 205, MERR 401;;BARR 102, BARR 105, CHAP 101, CHAP 103, CHAP 201, CHAP 203, CHAP 205, CHAP 210, CONV 207, CONV 209, CONV 302, CONV 304, CONV 308, FAYE 113, MCLS 428, MERR 314, MERR 401, NEWP 100, PRDT LR, WEBS 217, WEBS 219, WEBS 220
AMST-360-01;Public Art;AMST-360-01,ARHA-360-01;Carol Clark;BARR 102, BARR 105, CHAP 201, CONV 207, FAYE 113;BARR 102, BARR 105, CHAP 201, CONV 207, FAYE 113, FAYE 115, FAYE 217A;;BARR 102, BARR 105, CHAP 101, CHAP 103, CHAP 201, CHAP 203, CHAP 205, CHAP 210, CONV 207, CONV 209, CONV 302, CONV 304, CONV 308, FAYE 113, MCLS 428, MERR 314, MERR 401, NEWP 100, PRDT LR, WEBS 217, WEBS 219, WEBS 220
AMST-468-01;Resrch Methods: Amer Culture;;Robert Hayashi;BARR 102, CHAP 101, CHAP 203, CHAP 210, CONV 209, CONV 302, CONV 308, MERR 314, WEBS 217, WEBS 219, WEBS 220;BARR 102, CHAP 101, CHAP 203, CHAP 210, CONV 209, CONV 302, CONV 308, MERR 220, MERR 314, WEBS 217, WEBS 219, WEBS 220;;BARR 102, BARR 105, CHAP 101, CHAP 103, CHAP 201, CHAP 203, CHAP 205, CHAP 210, CONV 207, CONV 209, CONV 302, CONV 304, CONV 308, FAYE 113, MCLS 428, MERR 314, MERR 401, NEWP 100, PRDT LR, WEBS 217, WEBS 219, WEBS 220
ANTH-113-01;Evolution & Culture;;Miriam Goheen;CHAP 101, CHAP 201, CHAP 203, CHAP 205, MEAD 115, MERR 4, WEBS 220;CHAP 101, CHAP 201, CHAP 203, CHAP 205, MEAD 115, MERR 4, WEBS 220;;BARR 102, BARR 105, CHAP 101, CHAP 103, CHAP 201, CHAP 203, CHAP 205, CONV 207, CONV 208, CONV 209, CONV 302, CONV 304, ESNH 107, FAYE 113, FAYE 115, FAYE 117, JOCH 202, JOCH 21, MCLS 230, MCLS 428, MEAD 111, MEAD 115, MERR 131, MERR 3, MERR 315, MERR 4, MERR 401, NEWP 100, OCTA 201, SMUD 204, SMUD 205, SMUD 206, WEBS 215, WEBS 217, WEBS 220
ANTH-218-01;Transnat'l Migration;;Vanessa Fong;BARR 102, CONV 304, JOCH 202;BARR 102, CONV 304, JOCH 202;;BARR 102, BARR 105, CHAP 101, CHAP 103, CHAP 201, CHAP 203, CHAP 205, CONV 207, CONV 208, CONV 209, CONV 302, CONV 304, ESNH 107, FAYE 113, FAYE 115, FAYE 117, JOCH 202, JOCH 21, MCLS 230, MCLS 428, MEAD 111, MEAD 115, MERR 131, MERR 3, MERR 315, MERR 4, MERR 401, NEWP 100, OCTA 201, SMUD 204, SMUD 205, SMUD 206, WEBS 215, WEBS 217, WEBS 220
ANTH-220-01;Collecting the Past;;Elizabeth Klarich;JOCH 21, MEAD 111, WEBS 217;JOCH 21, MEAD 111, WEBS 217;;BARR 102, BARR 105, CHAP 101, CHAP 103, CHAP 201, CHAP 203, CHAP 205, CONV 207, CONV 208, CONV 209, CONV 302, CONV 304, ESNH 107, FAYE 113, FAYE 115, FAYE 117, JOCH 202, JOCH 21, MCLS 230, MCLS 428, MEAD 111, MEAD 115, MERR 131, MERR 3, MERR 315, MERR 4, MERR 401, NEWP 100, OCTA 201, SMUD 204, SMUD 205, SMUD 206, WEBS 215, WEBS 217, WEBS 220
ANTH-236-01;Ethnography/Latin Americ;;Ana Araujo;BARR 105, CONV 302, MCLS 230, MERR 401, WEBS 220;BARR 105, CONV 302, MCLS 230, MERR 401, WEBS 220;;BARR 102, BARR 105, CHAP 101, CHAP 103, CHAP 201, CHAP 203, CHAP 205, CONV 207, CONV 208, CONV 209, CONV 302, CONV 304, ESNH 107, FAYE 113, FAYE 115, FAYE 117, JOCH 202, JOCH 21, MCLS 230, MCLS 428, MEAD 111, MEAD 115, MERR 131, MERR 3, MERR 315, MERR 4, MERR 401, NEWP 100, OCTA 201, SMUD 204, SMUD 205, SMUD 206, WEBS 215, WEBS 217, WEBS 220
ANTH-241-01;Visual Anthropology;;Deborah Gewertz;CHAP 201, CHAP 205, CONV 207, CONV 209, CONV 304, FAYE 113, FAYE 115, MERR 3, SMUD 206, WEBS 217;CHAP 201, CHAP 205, CONV 207, CONV 209, CONV 304, FAYE 113, FAYE 115, MERR 3, SMUD 206, WEBS 217;;BARR 102, BARR 105, CHAP 101, CHAP 103, CHAP 201, CHAP 203, CHAP 205, CONV 207, CONV 208, CONV 209, CONV 302, CONV 304, ESNH 107, FAYE 113, FAYE 115, FAYE 117, JOCH 202, JOCH 21, MCLS 230, MCLS 428, MEAD 111, MEAD 115, MERR 131, MERR 3, MERR 315, MERR 4, MERR 401, NEWP 100, OCTA 201, SMUD 204, SMUD 205, SMUD 206, WEBS 215, WEBS 217, WEBS 220
