AMST-120-01;Writing Ourselves;;Kiara Vigil;L/D;TTH 10:00AM-11:20AM;11
AMST-221-01;Building Community;;Margaret Mead  Karen Sanchez-Eppler;L/D;MW 08:30AM-09:50AM;28
AMST-221-01;Building Community;;Margaret Mead  Karen Sanchez-Eppler;L/D;MW 08:30AM-09:50AM;28
AMST-320-01;Red/Black Literature;;Kiara Vigil;L/D;T 02:30PM-04:50PM;11
AMST-360-01;Public Art;AMST-360-01,ARHA-360-01;Carol Clark;L/D;MW 12:30PM-01:50PM;16
AMST-468-01;Resrch Methods: Amer Culture;;Robert Hayashi;L/D;W 02:00PM-05:00PM;5
ANTH-113-01;Evolution +ACY- Culture;;Miriam Goheen;L/D;MW 12:30PM-01:50PM;55
ANTH-218-01;Transnat'l Migration;;Vanessa Fong;L/D;MF 12:30PM-01:50PM;4
ANTH-220-01;Collecting the Past;;Elizabeth Klarich;L/D;TTH 02:30PM-03:50PM;15
ANTH-236-01;Ethnography/Latin Americ;;Ana Araujo;L/D;TTH 10:00AM-11:20AM;5
ANTH-241-01;Visual Anthropology;;Deborah Gewertz;L/D;TTH 02:30PM-03:50PM;24
ANTH-253-01;Muslim Lives in S. Asia;ANTH-253-01,ASLC-270-01;Nusrat Chowdhury;L/D;MW 02:00PM-03:20PM;10
ANTH-318-01;Chinese Childrearing;ANTH-318-01,ASLC-318-01;Vanessa Fong;L/D;F 02:00PM-04:30PM;10
ANTH-323-01;Hist Anthropolog Theory;;Deborah Gewertz;L/D;TTH 10:00AM-11:20AM;10
ANTH-332-01;Contemp Anthropology;;Nusrat Chowdhury;L/D;T 02:30PM-05:00PM;10
ANTH-340-01;Anthro of Development;;Ana Araujo;L/D;MW 02:00PM-03:20PM;12
ANTH-343-01;Econ Anthr +ACY- Soc Theory;;Miriam Goheen;L/D;T 02:30PM-05:00PM;28
ARAB-102-01;First-Year Arabic II;;Mohamed Hassan;L/D;MTWTHF 09:00AM-09:50AM;10
ARAB-202-01;Second-Year Arabic II;;Mohamed Hassan;L/D;MTWTHF 10:00AM-10:50AM;12
ARAB-402-01;Fourth-Year Arabic II;;Mohamed Hassan;L/D;MW 12:30PM-01:50PM;9
ARCH-216-01;Intermediate Arch Design;EUST-216-01,ARHA-216-01,ARCH-216-01;Thom Long;L/D;MW 09:00AM-11:30AM;13
ARCH-271-01;Modern Architecture;ARHA-271-01,ARCH-271-01,EUST-271-01;Jeffrey Saletnik;L/D;TTH 01:00PM-02:20PM;19
ARCH-280-01;Cathedral/Crown/City;ARHA-280-01,ARCH-280-01;Michael Davis;L/D;MW 08:30AM-09:50AM;21
ARCH-368-01;SPACE;GERM-368-01,EUST-368-01,FAMS-373-01,ARCH-368-01;Heidi Gilpin;L/D;W 12:00PM-03:00PM;11
ARHA-102-01;The Practice of Art;;David Gloman;L/D;MW 09:00AM-11:00AM;26
ARHA-111-01;Drawing I;;David Gloman;L/D;MW 01:00PM-04:00PM;20
